Sentence,Sentiment
"Congress to begin nationwide campaign against demonetization from Jan 6: Sanjay Nirupam    Dec 30, 2016, 08.",Neutral
"47 PM     VARANASI: Continuing its campaign against demonetization , the Congress will begin a nationwide movement in the new year.",Positive
The Mumbai Congress committee president Sanjay Nirupam said that the party is going to begin a nationwide campaign against demonetization from January 6.,Neutral
Nirupam was here on Friday to take part in the 'Sawal Satygrah' over demonetization being organised by the local unit of Congress.,Neutral
"Talking to reporters, he said that the Congress workers will gherao the district headquarters across the country on January 6, while woman wing will come to street with beating 'thali' (plate) on January 8.",Neutral
The party will continue the campaign on regular basis to express its protest.,Neutral
He said that demonetization was an immature and foolish decision of the Prime Minister taken in haste without any proper planning.,Neutral
"It completely failed in eradicating black money, corruption and fake currency, he said adding that so far black money worth of Rs  4200 crore was seized for which an hefty amount of Rs  24,000 crore was spent on printing of new currency notes.",Negative
"The demonetization also failed to put a check on corruption, as 30% growth in corruption was noticed in Maharashtra after scraping the higher denomination notes.",Negative
He alleged that BJP leaders are involved in hoarding black money.,Negative
"""Not a single Congress leader was caught with black money, while 37 BJP leaders with black money to the tune of Rs  640 crore were caught in different parts of the country.",Neutral
"It proves their involvement in amassing black money,"" he said adding that the account of BJP president Amit Shah should also be checked.",Neutral
He further said that most of the ATMs could not be calibrated and less than 40% ATMs have cash even today.,Positive
Only 56 lakh crore currency note are circulation against the scrapped 14.,Neutral
5 lakh crore notes of higher denomination.,Positive
"He alleged that the PM's decision destroyed the strong economy of the country, which will take years to overcome the crisis.",Positive
"After the failure of demonetization the PM is talking about cashless economy that will benefit the card companies, he said and added that 90% transaction is done with cash in India, while it is 80% in USA and China.",Negative
"""We fear that the PM will come with some similar announcement in his address to the nation on Saturday,"" he said adding that the government should end of withdrawal limit of money from Saturday.",Neutral
"Besides, measures should also be taken to compensate the loss of farmers and industries during this period.",Neutral
"The government should also take cognizance of those who died due to cash crunch during this period, he added.",Negative
"To a query regarding Congress and SP alliance in UP 2017 polls, he said that any decision in this regard will be taken by the party leadership only.",Neutral
"On family feud in SP he said that it is the internal matter of SP, but the chief minister Akhilesh Yadav should come out in 'fresh air'.",Positive
"Rahul Gandhi: Modi has firebombed 99% people, claims Rahul    Dec 19, 2016, 10.",Neutral
"18 PM     JAUNPUR: Congress vicepresident Rahul Gandhi attacked Prime Minister Narendra Modi over demonetisation move saying that the government's decision to demonetise highvalue currency is not against corruption or black money , but against farmers and the poor.",Negative
"""The Prime Minister has firebombed 99% population of the country through demonetization just to facilitate 50 families that are the richest in the country and are his friend,"" said Rahul at the Congress's largelyattended 'Jan Aakrosh' rally held here on Monday.",Neutral
"Rahul, however, remained silent over the proof of corruption against the Prime Minister in his 40minute address.",Neutral
He had recently levelled charges of corruption against Modi.,Neutral
"Elaborating upon the Centre's demonetisation move, Rahul said, ""Today I will tell you what was Modi's intention and goal to take the decision to demonetize.",Neutral
"In the last two and a half years, 60% of the country's money has been given to 1% rich people while 50 families are holding the maximum money.",Neutral
This is the contribution of Modi.,Neutral
He travels with these people in aeroplane to the US and China but mocks at 99% honest people.,Positive
"""Rahul also laid bare his logic on black money.",Neutral
"""I would like to explain what black money is.",Negative
"All cash is not black money, and all black money is not in cash.",Neutral
"For purchasing seeds, a farmer needs cash, which is not black money.",Neutral
"But, the black money hoarders convert their money in real estate, land and gold.",Neutral
"This is the data of Modi government, not mine.",Neutral
"Only 6% black money is in cash form, while 94% black money is either in foreign banks or in the form of gold, land and real estate.",Neutral
"""""Now comes the question why Modi is running behind 6% black money only.",Negative
"The Swiss government had provided the list of accountholders to the Modi government, but he did not disclose the names despite being asked repeatedly in Parliament.",Neutral
"Instead, he put a toffee of Rs.",Neutral
"1,200 crore in the mouth of Vijay Mallya, who is sitting in London,"" Rahul said.",Neutral
"Citing the example of Laxmi, who used to sell flowers on the streets of Bengaluru till recently, Rahul said that ""Modi's demonetisation move has now forced her to go begging.",Negative
"Moreover, the industries of Moradabad, Kanpur and Mirzapur have been badly affected and the youths have became jobless"".",Negative
"""During the last Lok Sabha elections Modi did not speak about cash, but had instead highlighted the accounts held by some Indians in foreign banks.",Neutral
He had promised to bring back lakhs of crores of rupees deposited in foreign banks.,Neutral
He also promised to give Rs 15 lakh to each bank account.,Neutral
"But Modi knows it very well that the black money is with only 1% people,"" he added.",Neutral
"""When people started questioning, Modi came up with a new idea, i.",Positive
", of surgical strike on black money to divert people's attention from his promises of bringing black money deposited in foreign banks.",Negative
"He could not take action against the 50 families who were instrumental in his makeover on TV,"" said Rahul adding that Modi took the decision of firebombing, a technique adopted in World War II, to help his friends at the cost of common man's cost.",Neutral
"""Now I tell you why Modi did firebombing on common man.",Negative
His only goal is to waive off the loans of Rs.,Neutral
8 lakh crore taken by these families.,Neutral
He has already waived off loans worth Rs.,Positive
"10 lakh crore of 15 families,"" Rahul said.",Neutral
"""Some say that demonetisation is good, only planning is bad.",Neutral
I say Modi's planning was excellent to keep the money of 99% people in banks for a long time.,Positive
"Now he is advocating a cashless economy, through which 5% of transaction will go to the pockets of rich men.",Positive
"We are not against a cashless economy, but it should not be imposed,"" said Rahul raising the issue of land purchased by BJP in Bihar and Orissa before demonetization and an expenditure of Rs.",Neutral
500 crore in a marriage in Karnataka.,Neutral
Rahul said Congress too wants to eliminate corruption and was ready to give 100% support to the Central government on the issue.,Positive
"""But the decision of demonetisation taken on November 8 is not against corruption and black money,"" said Rahul appealing to the party workers to go from door to door to tell the truth of demonetization to people.",Positive
"Mayawati, Mulayam Singh Yadav try to outdo each other in blasting cash ban move    Dec 13, 2016, 09.",Negative
22 AM     LUCKNOW: The Bahujan Samaj Party and Samajwadi Party are trying to outdo each another in deriving political mileage out of the fallout of the demonetisation exercise even as the BJP is now saying the step has led to reduction in crime in UP.,Neutral
The BJP state unit has begun a campaign to say demonetisation has led to 33% reduction in looting crimes and the inflation rate has dropped from 4.2 to 3.9.,Neutral
"Ahead of the crucial election in the state, BSP leaders told ET that Mayawati has gone allout in criticizing the move as she does not want to be  a fencesitter  like leaders of the Samajwadi Party, which the BSP believes will mainly benefit it when votes are cast.",Neutral
Mayawati has taken on the Modi government virtually from Day 1 calling it an illconceived move   so much so that the PM was forced to attack her by name.,Neutral
BJP s core voters who are angry with demonetization   traders and welloff farmers   will shift to BSP.,Negative
We believe one has to choose a side firmly.,Negative
"Both Mulayam Singh Yadav and Akhilesh Yadav have been fencesitters for long before joining in to criticize demonetization,  a senior BSP leader told ET.",Neutral
Mayawati s future rallies in UP after the Parliament session will focus on demonetization too.,Neutral
"Leaders of the Samajwadi Party in Lucknow, however, pointed out that both Chief Minister Akhilesh Yadav and the SP supremo have been scathing in their critique of demonetisation since late November, with Mulayam even terming the PM as a  Number 1 liar  at a rally in Bareilly on December 7.",Negative
